2025/10/04 ST R03 pair 4-6 p12=1.891 | Q=- | QP=603.0
2025/10/04 ST R07 pair 4-9 p12=1.835 | Q=235.0 | QP=81.0
2025/10/08 HV R07 pair 1-8 p12=1.840 | Q=- | QP=56.5
2025/10/12 ST R03 pair 8-11 p12=1.877 | Q=- | QP=2282.0
2025/10/12 ST R09 pair 1-6 p12=1.891 | Q=- | QP=715.0
2025/10/12 ST R10 pair 2-9 p12=1.870 | Q=- | QP=270.5
2025/10/15 HV R09 pair 6-9 p12=1.897 | Q=- | QP=73.0
2025/10/19 ST R06 pair 8-10 p12=1.840 | Q=- | QP=807.0
2025/10/19 ST R08 pair 4-6 p12=1.863 | Q=- | QP=56.0
2025/10/26 ST R01 pair 9-10 p12=1.870 | Q=547.5 | QP=197.0
2025/10/26 ST R03 pair 1-3 p12=1.871 | Q=- | QP=74.0
2025/10/26 ST R05 pair 4-5 p12=1.863 | Q=- | QP=448.5
2025/10/26 ST R10 pair 3-5 p12=1.915 | Q=- | QP=262.0
2025/10/30 ST R03 pair 9-12 p12=1.813 | Q=712.5 | QP=160.0
2025/11/02 HV R02 pair 9-10 p12=1.892 | Q=- | QP=173.0
2025/11/05 HV R08 pair 3-6 p12=1.882 | Q=- | QP=229.5
2025/11/09 ST R01 pair 4-11 p12=1.838 | Q=692.5 | QP=218.0
2025/11/09 ST R06 pair 4-10 p12=1.812 | Q=338.5 | QP=116.0
2025/11/09 ST R07 pair 5-14 p12=1.901 | Q=- | QP=454.0
2025/11/12 HV R05 pair 8-11 p12=1.827 | Q=- | QP=769.0
2025/11/12 HV R08 pair 1-7 p12=1.820 | Q=- | QP=162.5
2025/11/12 HV R09 pair 5-11 p12=1.879 | Q=- | QP=67.5
2025/11/15 ST R06 pair 10-14 p12=1.851 | Q=- | QP=473.0
2025/11/19 HV R04 pair 1-3 p12=1.822 | Q=- | QP=185.5
2025/11/19 HV R05 pair 6-8 p12=1.839 | Q=- | QP=102.5
2025/11/19 HV R08 pair 4-9 p12=1.864 | Q=- | QP=61.5
2025/11/19 HV R09 pair 8-12 p12=1.828 | Q=- | QP=975.5
2025/11/23 ST R04 pair 7-11 p12=1.860 | Q=266.0 | QP=101.0
2025/11/23 ST R06 pair 3-6 p12=1.921 | Q=- | QP=113.5
2025/11/23 ST R08 pair 1-9 p12=1.887 | Q=- | QP=119.5
