2025/05/31 ST R05 pair 1-7 p12=1.866 | Q=89.5 | QP=35.0
2025/05/31 ST R08 pair 2-5 p12=1.900 | Q=- | QP=21.0
2025/06/04 HV R03 pair 4-11 p12=1.874 | Q=168.5 | QP=62.5
2025/06/04 HV R08 pair 1-9 p12=1.912 | Q=245.5 | QP=96.5
2025/06/08 ST R08 pair 1-4 p12=1.856 | Q=148.5 | QP=61.5
2025/06/11 HV R02 pair 2-9 p12=1.865 | Q=- | QP=501.5
2025/06/11 HV R07 pair 2-5 p12=1.872 | Q=- | QP=41.5
2025/06/14 ST R02 pair 1-5 p12=1.886 | Q=- | QP=161.0
2025/06/14 ST R07 pair 1-8 p12=1.891 | Q=195.5 | QP=76.5
2025/06/14 ST R08 pair 1-3 p12=1.894 | Q=115.5 | QP=45.0
2025/06/14 ST R09 pair 5-7 p12=1.903 | Q=- | QP=106.5
2025/06/22 ST R02 pair 3-13 p12=1.900 | Q=175.5 | QP=64.5
2025/06/22 ST R06 pair 6-7 p12=1.933 | Q=- | QP=100.0
2025/06/22 ST R07 pair 3-12 p12=1.870 | Q=- | QP=39.0
2025/06/28 ST R09 pair 1-2 p12=1.871 | Q=- | QP=165.5
2025/07/01 ST R05 pair 4-12 p12=1.893 | Q=243.5 | QP=86.5
2025/07/01 ST R10 pair 3-10 p12=1.877 | Q=- | QP=70.5
2025/07/05 ST R02 pair 1-12 p12=1.874 | Q=- | QP=42.5
2025/07/05 ST R04 pair 6-8 p12=1.866 | Q=- | QP=111.5
2025/07/05 ST R07 pair 3-11 p12=1.862 | Q=- | QP=138.5
2025/07/09 HV R02 pair 3-6 p12=1.890 | Q=- | QP=140.0
2025/07/13 ST R03 pair 3-8 p12=1.879 | Q=- | QP=171.5
2025/07/16 HV R02 pair 4-11 p12=1.881 | Q=81.5 | QP=33.0
2025/07/16 HV R05 pair 3-7 p12=1.868 | Q=- | QP=74.0
2025/07/16 HV R07 pair 8-9 p12=1.866 | Q=- | QP=280.5
2025/09/10 HV R01 pair 6-9 p12=1.858 | Q=- | QP=171.5
2025/09/10 HV R05 pair 3-9 p12=1.863 | Q=- | QP=416.5
2025/09/14 ST R06 pair 1-12 p12=1.898 | Q=- | QP=716.5
2025/09/17 HV R02 pair 2-10 p12=1.853 | Q=- | QP=265.5
2025/09/17 HV R05 pair 3-11 p12=1.868 | Q=- | QP=106.0
