racedate,venue,race_no,pair,p12,stake_Q,Q_div,Q_ret,stake_QP,QP_offered,QP_div,QP_ret,total_stake,total_return,profit
2024/09/08,ST,1,8-11,1.87,50,330.0,1650.0,50,Y,107.0,535.0,100,2185.0,2085.0
2024/09/08,ST,2,11-13,1.923,300,,0.0,300,Y,,0.0,600,0.0,-600.0
2024/09/08,ST,3,6-8,1.886,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/08,ST,4,4-10,1.908,100,,0.0,100,Y,189.5,1895.0,200,1895.0,1695.0
2024/09/08,ST,5,3-5,1.901,100,,0.0,100,Y,,0.0,200,0.0,-200.0
2024/09/08,ST,6,3-4,1.887,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/08,ST,7,4-5,1.89,50,,0.0,50,Y,68.0,340.0,100,340.0,240.0
2024/09/08,ST,8,1-13,1.915,100,,0.0,100,Y,307.5,3075.0,200,3075.0,2875.0
2024/09/08,ST,10,5-9,1.903,100,,0.0,100,Y,43.0,430.0,200,430.0,230.0
2024/09/11,HV,1,2-9,1.91,100,,0.0,100,Y,,0.0,200,0.0,-200.0
2024/09/11,HV,2,3-6,1.857,50,299.0,1495.0,50,Y,95.5,477.5,100,1972.5,1872.5
2024/09/11,HV,4,2-6,1.887,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/11,HV,5,3-6,1.871,50,1045.5,5227.5,50,Y,327.0,1635.0,100,6862.5,6762.5
2024/09/11,HV,6,1-10,1.898,50,,0.0,50,Y,138.5,692.5,100,692.5,592.5
2024/09/11,HV,7,4-11,1.893,50,,0.0,50,Y,53.0,265.0,100,265.0,165.0
2024/09/11,HV,8,4-5,1.871,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/15,ST,1,1-8,1.895,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/15,ST,2,1-9,1.894,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/15,ST,3,1-5,1.922,300,,0.0,300,Y,,0.0,600,0.0,-600.0
2024/09/15,ST,4,2-3,1.871,50,,0.0,50,Y,182.0,910.0,100,910.0,810.0
2024/09/15,ST,5,6-12,1.875,50,3178.0,15890.0,50,Y,667.5,3337.5,100,19227.5,19127.5
2024/09/15,ST,6,3-5,1.879,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/15,ST,7,4-11,1.916,100,,0.0,100,Y,,0.0,200,0.0,-200.0
2024/09/15,ST,9,5-6,1.88,50,,0.0,50,Y,115.0,575.0,100,575.0,475.0
2024/09/15,ST,10,9-12,1.9,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/18,HV,1,3-6,1.893,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/18,HV,2,3-9,1.888,50,,0.0,50,Y,122.0,610.0,100,610.0,510.0
2024/09/18,HV,3,1-9,1.904,100,,0.0,100,Y,67.5,675.0,200,675.0,475.0
2024/09/18,HV,5,2-5,1.866,50,153.5,767.5,50,Y,53.5,267.5,100,1035.0,935.0
2024/09/18,HV,6,2-5,1.91,100,388.5,3885.0,100,Y,126.0,1260.0,200,5145.0,4945.0
2024/09/18,HV,7,2-8,1.895,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/18,HV,8,9-12,1.9,50,1316.5,6582.5,50,Y,372.0,1860.0,100,8442.5,8342.5
2024/09/22,ST,1,6-8,1.892,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/22,ST,2,4-8,1.88,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/22,ST,3,3-7,1.86,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/22,ST,4,8-10,1.882,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/22,ST,6,8-10,1.905,100,,0.0,100,Y,,0.0,200,0.0,-200.0
2024/09/22,ST,7,1-5,1.86,50,209.0,1045.0,50,Y,47.0,235.0,100,1280.0,1180.0
2024/09/22,ST,8,4-7,1.893,50,,0.0,50,Y,46.5,232.5,100,232.5,132.5
2024/09/22,ST,9,5-9,1.869,50,,0.0,50,Y,45.5,227.5,100,227.5,127.5
2024/09/22,ST,10,2-8,1.919,100,,0.0,100,Y,,0.0,200,0.0,-200.0
2024/09/25,HV,1,3-4,1.878,50,219.5,1097.5,50,Y,66.5,332.5,100,1430.0,1330.0
2024/09/25,HV,2,7-9,1.878,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/25,HV,4,1-3,1.867,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/25,HV,5,6-10,1.879,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/25,HV,6,3-9,1.862,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/25,HV,7,2-6,1.878,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/28,ST,1,4-7,1.863,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/28,ST,2,4-7,1.873,50,,0.0,50,Y,,0.0,100,0.0,-100.0
2024/09/28,ST,3,5-8,1.903,100,,0.0,100,Y,217.5,2175.0,200,2175.0,1975.0
2024/09/28,ST,5,2-9,1.899,50,,0.0,50,Y,,0.0,100,0.0,-100.0
