block | test_range | threshold | xgb_races | xgb_roi | xgb_profit | lr_races | lr_roi | lr_profit
---|---|---:|---:|---:|---:|---:|---:|---:
1 | 2025/01/26..2025/03/02 | 0.6 | 91 | -0.514 | -929.5 | 95 | -0.266 | -502.5
1 | 2025/01/26..2025/03/02 | 0.7 | 74 | -0.586 | -862.0 | 82 | -0.213 | -349.5
1 | 2025/01/26..2025/03/02 | 0.8 | 38 | -0.966 | -734.0 | 52 | +0.100 | +104.0
1 | 2025/01/26..2025/03/02 | 0.9 | 19 | -0.932 | -354.0 | 16 | -0.791 | -253.0
2 | 2025/03/05..2025/04/06 | 0.6 | 86 | -0.438 | -752.5 | 90 | -0.163 | -294.0
2 | 2025/03/05..2025/04/06 | 0.7 | 67 | -0.343 | -459.0 | 55 | -0.046 | -51.0
2 | 2025/03/05..2025/04/06 | 0.8 | 29 | -0.497 | -288.5 | 25 | +0.513 | +256.5
2 | 2025/03/05..2025/04/06 | 0.9 | 11 | -1.000 | -220.0 | 1 | +1.425 | +28.5
3 | 2025/04/09..2025/05/10 | 0.6 | 95 | -0.100 | -189.5 | 95 | -0.021 | -39.0
3 | 2025/04/09..2025/05/10 | 0.7 | 87 | -0.033 | -56.5 | 89 | +0.028 | +50.5
3 | 2025/04/09..2025/05/10 | 0.8 | 72 | -0.013 | -19.0 | 64 | +0.361 | +462.5
3 | 2025/04/09..2025/05/10 | 0.9 | 54 | +0.135 | +144.5 | 39 | +0.164 | +128.0
4 | 2025/05/14..2025/06/14 | 0.6 | 95 | -0.397 | -754.0 | 94 | -0.536 | -1007.5
4 | 2025/05/14..2025/06/14 | 0.7 | 83 | -0.575 | -955.0 | 91 | -0.521 | -947.5
4 | 2025/05/14..2025/06/14 | 0.8 | 59 | -0.416 | -490.5 | 61 | -0.285 | -347.5
4 | 2025/05/14..2025/06/14 | 0.9 | 38 | -0.279 | -212.0 | 28 | -0.396 | -221.5
5 | 2025/06/22..2025/09/10 | 0.6 | 97 | -0.101 | -195.5 | 99 | -0.254 | -503.0
5 | 2025/06/22..2025/09/10 | 0.7 | 82 | +0.064 | +104.5 | 90 | -0.196 | -353.5
5 | 2025/06/22..2025/09/10 | 0.8 | 58 | +0.248 | +288.0 | 62 | -0.140 | -173.5
5 | 2025/06/22..2025/09/10 | 0.9 | 34 | -0.076 | -51.5 | 31 | +0.500 | +310.0
6 | 2025/09/14..2025/10/19 | 0.6 | 87 | -0.281 | -488.5 | 90 | -0.334 | -600.5
6 | 2025/09/14..2025/10/19 | 0.7 | 74 | -0.210 | -311.5 | 74 | -0.387 | -572.5
6 | 2025/09/14..2025/10/19 | 0.8 | 51 | -0.325 | -331.5 | 44 | -0.239 | -210.0
6 | 2025/09/14..2025/10/19 | 0.9 | 18 | -0.738 | -265.5 | 14 | +0.032 | +9.0
7 | 2025/10/22..2025/11/23 | 0.6 | 87 | -0.359 | -624.0 | 88 | -0.231 | -406.5
7 | 2025/10/22..2025/11/23 | 0.7 | 75 | -0.322 | -483.5 | 77 | -0.121 | -186.5
7 | 2025/10/22..2025/11/23 | 0.8 | 51 | -0.358 | -365.5 | 45 | +0.200 | +180.0
7 | 2025/10/22..2025/11/23 | 0.9 | 28 | -0.382 | -214.0 | 12 | -0.927 | -222.5
8 | 2025/11/26..2025/12/27 | 0.6 | 92 | -0.209 | -385.0 | 92 | +0.052 | +96.5
8 | 2025/11/26..2025/12/27 | 0.7 | 75 | -0.271 | -406.0 | 72 | +0.231 | +332.5
8 | 2025/11/26..2025/12/27 | 0.8 | 54 | -0.139 | -150.0 | 29 | +0.558 | +323.5
8 | 2025/11/26..2025/12/27 | 0.9 | 28 | -0.392 | -219.5 | 11 | -0.414 | -91.0
9 | 2026/01/01..2026/02/01 | 0.6 | 97 | -0.700 | -1343.5 | 98 | -0.507 | -984.5
9 | 2026/01/01..2026/02/01 | 0.7 | 80 | -0.637 | -1013.5 | 74 | -0.654 | -961.0
9 | 2026/01/01..2026/02/01 | 0.8 | 56 | -0.635 | -705.0 | 47 | -0.622 | -578.5
9 | 2026/01/01..2026/02/01 | 0.9 | 29 | -0.647 | -375.5 | 6 | -1.000 | -120.0
