block | test_range | xgb_races_bet | xgb_roi | xgb_profit | lr_races_bet | lr_roi | lr_profit
---|---|---:|---:|---:|---:|---:|---:
1 | 2025/01/26..2025/03/02 | 47 | -0.706 | -10170.0 | 52 | -0.249 | -2942.5
2 | 2025/03/05..2025/04/06 | 25 | -0.765 | -2755.0 | 25 | +0.440 | +1362.5
3 | 2025/04/09..2025/05/10 | 68 | +0.792 | +25647.5 | 64 | +0.409 | +9280.0
4 | 2025/05/14..2025/06/14 | 62 | -0.656 | -14887.5 | 61 | -0.376 | -7860.0
5 | 2025/06/22..2025/09/10 | 67 | +0.024 | +577.5 | 62 | +0.163 | +3002.5
6 | 2025/09/14..2025/10/19 | 45 | -0.205 | -2317.5 | 44 | -0.358 | -3295.0
7 | 2025/10/22..2025/11/23 | 50 | +0.130 | +2222.5 | 45 | -0.469 | -5162.5
8 | 2025/11/26..2025/12/27 | 52 | -0.388 | -7365.0 | 29 | -0.277 | -2157.5
9 | 2026/01/01..2026/02/01 | 57 | -0.653 | -12925.0 | 47 | -0.769 | -5842.5
