block | test_range | xgb_comb_roi | xgb_profit | lr_comb_roi | lr_profit | xgb_races | lr_races
---|---|---:|---:|---:|---:|---:|---:
1 | 2025/01/26..2025/03/02 | -0.684 | -1360.5 | -0.140 | -278.5 | 100 | 100
2 | 2025/03/05..2025/04/06 | -0.115 | -219.0 | -0.238 | -456.5 | 96 | 96
3 | 2025/04/09..2025/05/10 | -0.137 | -261.5 | +0.462 | +883.0 | 96 | 96
4 | 2025/05/14..2025/06/14 | -0.513 | -1006.0 | -0.375 | -735.5 | 98 | 98
5 | 2025/06/22..2025/09/10 | +0.639 | +1259.5 | -0.254 | -503.0 | 99 | 99
6 | 2025/09/14..2025/10/19 | -0.519 | -987.0 | -0.205 | -389.5 | 95 | 95
7 | 2025/10/22..2025/11/23 | +0.028 | +51.5 | -0.272 | -506.5 | 93 | 93
8 | 2025/11/26..2025/12/27 | -0.149 | -283.0 | +0.161 | +305.5 | 95 | 95
9 | 2026/01/01..2026/02/01 | -0.668 | -1349.0 | -0.693 | -1399.0 | 102 | 102
