racedate,venue,race_no,url,top1_horse_no,top1_overlay,top1_score_win,top1_p_mkt_win,top1_odds,stake_w,stake_w_tier,win_div,return_w,profit_w,did_bet_w,q_partner2_no,q_partner2_ranker_score,q_partner3_no,q_partner3_ranker_score,q_div_12,q_div_13,stake_q_total,return_q_total,profit_q_total
2025/09/07,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=1,9,0.0017423749068853763,-1.1970180493577673,0.23169580352870958,3.5,0.0,,,0.0,0.0,False,4,-1.611245945704752,12,-1.8823336044348078,,149.0,0.0,0.0,0.0
2025/09/07,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=2,5,-0.03568813860672689,-1.9095243275926483,0.13309846718211224,6.1,0.0,,,0.0,0.0,False,3,-0.7249528453024379,4,-1.642459659441149,,,0.0,0.0,0.0
2025/09/07,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=3,1,0.06463994571069648,1.3288880666359602,0.7797565312438968,1.0,0.0,,10.5,0.0,0.0,False,9,-1.524122024200296,2,-1.9112158132332027,,70.5,0.0,0.0,0.0
2025/09/07,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=4,3,-0.18162031515510305,0.3802541596498411,0.636886146548628,1.4,0.0,,,0.0,0.0,False,7,1.6998836774374155,12,-1.1881750164571132,,44.5,0.0,0.0,0.0
2025/09/07,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=5,2,0.05286466852202323,-1.068069219211629,0.24583809805735377,3.3,0.0,,,0.0,0.0,False,12,-1.912423323691051,14,-2.204195187847569,,,0.0,0.0,0.0
2025/09/07,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=6,3,0.0789771025480281,-0.42752572685623186,0.37601370110265936,2.2,0.0,,,0.0,0.0,False,6,-0.17612851890163245,5,-0.5068938889165949,,,0.0,0.0,0.0
2025/09/07,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=7,7,-0.06466445284775696,-1.4476712583134193,0.2005265277272117,4.1,0.0,,,0.0,0.0,False,10,-0.9933483618303284,14,-1.6400139772414668,,,0.0,0.0,0.0
2025/09/07,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=8,1,0.000435358075021371,-0.935826952080771,0.28165595642752844,2.9,0.0,,,0.0,0.0,False,8,-0.5542894530789845,5,-1.0862366762498052,,,0.0,0.0,0.0
2025/09/07,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=9,11,-0.14147059073386853,-0.3430986949549402,0.44976305269303796,1.8,0.0,,,0.0,0.0,False,6,2.1484052395928503,1,-0.999686955918522,,,0.0,0.0,0.0
2025/09/07,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/07&Racecourse=ST&RaceNo=10,1,0.03766592404355164,-0.6874327055828907,0.32627121957611244,2.5,0.0,,,0.0,0.0,False,4,-0.3220103262687479,2,-0.5535141761043352,,,0.0,0.0,0.0
2025/09/10,HV,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=1,4,0.01386104487281485,-1.284357644951479,0.21446496118358155,3.8,0.0,,,0.0,0.0,False,7,-0.8400802166417293,6,-2.044808078343095,,,0.0,0.0,0.0
2025/09/10,HV,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=2,1,-0.004782672587164876,-1.1593517872548158,0.23965550544910497,3.4,0.0,,,0.0,0.0,False,5,-0.6672621272418089,2,-1.5374996011816375,,,0.0,0.0,0.0
2025/09/10,HV,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=3,1,0.0628441381516259,-1.08798524538332,0.24033762536857897,3.4,0.0,,,0.0,0.0,False,9,2.365939113112826,2,0.14280150430638452,186.5,,0.0,0.0,0.0
2025/09/10,HV,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=4,5,0.03923275457603873,-0.25697072293381906,0.42648583592505035,1.9,0.0,,,0.0,0.0,False,8,-0.5718717074775065,1,-1.3889680118039107,,,0.0,0.0,0.0
2025/09/10,HV,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=5,2,-0.06332016102943425,-0.5070146715012365,0.3908609943231273,2.1,0.0,,,0.0,0.0,False,1,-1.024391393710717,9,-1.5041124780977662,,83.0,0.0,0.0,0.0
2025/09/10,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=6,5,-0.010881805992004279,-1.0837065281113092,0.2548662713832077,3.2,0.0,,,0.0,0.0,False,4,-2.00680696054107,1,-2.0811243604440115,,,0.0,0.0,0.0
2025/09/10,HV,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=7,11,-0.08192148523081728,-1.2332215051656674,0.24025170921661862,3.4,0.0,,,0.0,0.0,False,3,1.9257126885881866,6,-0.9400161494016802,,,0.0,0.0,0.0
2025/09/10,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/10&Racecourse=HV&RaceNo=8,3,0.07443806922064305,-1.539527070890208,0.16603883356502142,4.9,0.0,,,0.0,0.0,False,4,0.45323550587861794,2,-0.44289613928736693,,,0.0,0.0,0.0
2025/09/14,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=1,4,0.03425638286363212,-0.5682275496560841,0.3537756149825734,2.3,0.0,,,0.0,0.0,False,3,0.03362565906288597,14,-1.437079505287934,,,0.0,0.0,0.0
2025/09/14,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=2,1,0.0310277475988347,-0.3341643667357237,0.40970328508391046,2.1,0.0,,,0.0,0.0,False,5,0.9924744968271649,4,-0.9072730286058328,,,0.0,0.0,0.0
2025/09/14,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=3,1,-0.0656631098008601,-0.9419066244867125,0.2939568192956656,2.8,0.0,,,0.0,0.0,False,4,-0.5446271423625686,6,-1.4596105756399018,,98.0,0.0,0.0,0.0
2025/09/14,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=4,6,0.004332851470769689,-0.7245707225918767,0.3254353766415566,2.5,0.0,,,0.0,0.0,False,1,-1.9310365562219725,3,-2.0181140500237604,,,0.0,0.0,0.0
2025/09/14,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=5,4,0.11389398427891337,-0.8413893118189132,0.2778235507168509,2.9,0.0,,29.5,0.0,0.0,False,2,-1.9278073569781087,8,-2.0521578891962347,,,0.0,0.0,0.0
2025/09/14,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=6,8,-0.14090294054058064,-0.7983907652004316,0.3413041624658469,2.5,0.0,,,0.0,0.0,False,3,-1.189568674911796,5,-1.4387040515534193,,,0.0,0.0,0.0
2025/09/14,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=7,11,-0.05069758309482855,0.1470381536012065,0.5492734916132892,1.5,0.0,,,0.0,0.0,False,2,0.9700446815290307,1,0.8845264195030091,,,0.0,0.0,0.0
2025/09/14,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=8,1,0.031391922181647394,-0.5957212232116844,0.3481654111548002,2.4,0.0,,,0.0,0.0,False,6,-1.3525724121961133,2,-2.502060381767502,,,0.0,0.0,0.0
2025/09/14,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=9,3,-0.13469655492431412,-1.7930895845175958,0.15997783156152307,5.2,0.0,,,0.0,0.0,False,8,0.37856946888242143,6,0.0802924566217148,,,0.0,0.0,0.0
2025/09/14,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/14&Racecourse=ST&RaceNo=10,9,-0.00887794121080013,-0.7424140346943034,0.32441923620352936,2.5,0.0,,,0.0,0.0,False,4,-0.17681726891970162,2,-0.9003158868094432,,,0.0,0.0,0.0
2025/09/17,HV,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=1,2,0.09015367704031407,-1.2487860795636614,0.20768446926848738,4.1,0.0,,41.0,0.0,0.0,False,8,-0.7496773615045377,4,-1.6843789759395744,,,0.0,0.0,0.0
2025/09/17,HV,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=2,12,-0.15691916482627788,-1.004334269387767,0.29997537930075496,2.7,0.0,,,0.0,0.0,False,2,-0.8577458902679275,4,-1.4509278079911883,,,0.0,0.0,0.0
2025/09/17,HV,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=3,9,0.0012382833034306805,-1.4848782337168698,0.18450533258791263,4.4,0.0,,,0.0,0.0,False,5,-1.049335105873103,11,-1.9210925492837108,,,0.0,0.0,0.0
2025/09/17,HV,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=4,4,-0.07946231587041849,-1.3814534122081157,0.21383010941918154,3.8,0.0,,,0.0,0.0,False,6,0.06412182300669263,1,-0.455597078515912,,,0.0,0.0,0.0
2025/09/17,HV,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=5,4,0.07293342537575123,-0.8561012044204086,0.28312060822845947,2.9,0.0,,,0.0,0.0,False,3,0.7403872182887793,11,-2.0648930096758225,,,0.0,0.0,0.0
2025/09/17,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=6,6,-0.05640095747010826,-1.4542332771871842,0.1981603148965001,4.1,0.0,,,0.0,0.0,False,2,-0.6075557036828284,3,-0.7142092304600229,,,0.0,0.0,0.0
2025/09/17,HV,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=7,1,-0.16173248457305386,-1.6507072682648554,0.18407565664198977,4.4,0.0,,44.5,0.0,0.0,False,8,0.19256503148831478,11,-0.9152236051080188,,,0.0,0.0,0.0
2025/09/17,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/17&Racecourse=HV&RaceNo=8,10,-0.06483960171278255,-1.3924058103634063,0.20956222780441808,3.9,0.0,,,0.0,0.0,False,1,-0.8774018299124368,4,-0.9476354249283057,,323.0,0.0,0.0,0.0
2025/09/21,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=1,8,-0.17578229859534195,-1.249172978014145,0.25475880565300385,3.2,0.0,,,0.0,0.0,False,1,-0.507124911724801,5,-0.6932307805277356,,,0.0,0.0,0.0
2025/09/21,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=2,1,-0.10031914511746845,-1.094401163209279,0.2701065570404408,3.1,0.0,,,0.0,0.0,False,2,1.458985142670042,5,-1.0503965250899692,,,0.0,0.0,0.0
2025/09/21,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=3,4,0.11021444277115487,-0.9539002503311171,0.25652391704351685,3.4,0.0,,,0.0,0.0,False,5,0.6605796382874863,10,0.4844577860914359,,,0.0,0.0,0.0
2025/09/21,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=4,3,0.0334370123824033,-1.3001610574399833,0.20856482508330684,3.9,0.0,,,0.0,0.0,False,9,0.8895540348033553,1,-0.7336422730125056,,,0.0,0.0,0.0
2025/09/21,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=5,10,-0.08383719468732803,-1.621700675405308,0.17684607648153908,4.6,0.0,,,0.0,0.0,False,5,-0.522946287206961,11,-0.6406270431301984,,,0.0,0.0,0.0
2025/09/21,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=6,6,0.12994997238536013,-0.9989498189437294,0.24436419766457357,3.5,0.0,,,0.0,0.0,False,7,-0.058354826720705924,3,-1.4826744079528147,,,0.0,0.0,0.0
2025/09/21,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=7,1,0.1745232038903225,-1.435874987994156,0.16653333720887267,4.9,0.0,,,0.0,0.0,False,7,-0.09516767206838904,10,-0.7284142273454846,,,0.0,0.0,0.0
2025/09/21,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/21&Racecourse=ST&RaceNo=8,4,-0.0896275072018674,-1.2092264514200366,0.24608568285809457,3.3,0.0,,33.0,0.0,0.0,False,6,0.09240743171845829,8,-0.4264906271969978,,218.0,0.0,0.0,0.0
2025/09/28,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=1,8,0.016202454409179383,-0.8144795140068366,0.3035008908530397,2.7,0.0,,27.0,0.0,0.0,False,7,-0.7702747362355553,2,-0.8606543502855764,,,0.0,0.0,0.0
2025/09/28,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=2,8,0.04069190055545088,-1.2243480906698454,0.22010750602102844,4.0,0.0,,40.0,0.0,0.0,False,4,1.6998836774374155,10,-1.3360916659018205,,,0.0,0.0,0.0
2025/09/28,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=3,3,-0.09252238893567757,-1.5113716537919288,0.19484204594610705,4.2,0.0,,,0.0,0.0,False,8,-0.5010854048615481,12,-1.2318635502897102,,,0.0,0.0,0.0
2025/09/28,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=4,1,-0.02367545158773428,-0.5660457472538836,0.36763636355910184,2.2,0.0,,,0.0,0.0,False,10,0.3731016099257437,2,-1.5557579319943264,,107.5,0.0,0.0,0.0
2025/09/28,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=5,2,0.03736829580725055,0.3537457883408383,0.5784411665284955,3.1,0.0,,,0.0,0.0,False,6,-0.9020078672279078,11,-1.369145567004184,,,0.0,0.0,0.0
2025/09/28,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=6,10,0.17197675262451118,-1.3606184658745066,0.1776142916133508,4.6,0.0,,,0.0,0.0,False,1,0.6127213848636035,3,-0.4579474434775663,,,0.0,0.0,0.0
2025/09/28,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/09/28&Racecourse=ST&RaceNo=7,4,0.0927627064977834,0.6368165668212108,0.632754944037284,1.3,0.0,,13.5,0.0,0.0,False,8,0.737806372221578,2,0.17122454486282657,,,0.0,0.0,0.0
