2024/09/28 ST R09 pair 6-7 p12=1.925 | Q=- | QP=33.0
2024/10/01 ST R06 pair 1-8 p12=1.936 | Q=- | QP=237.0
2024/10/13 ST R04 pair 2-3 p12=1.923 | Q=- | QP=391.0
2024/10/20 ST R07 pair 1-2 p12=1.935 | Q=- | QP=19.5
2024/10/20 ST R08 pair 2-13 p12=1.924 | Q=- | QP=34.0
2024/11/09 ST R07 pair 2-8 p12=1.929 | Q=- | QP=153.0
2024/12/04 HV R05 pair 1-2 p12=1.946 | Q=- | QP=314.5
2024/12/08 ST R03 pair 4-14 p12=1.933 | Q=4533.0 | QP=1204.0
2025/02/16 ST R10 pair 2-4 p12=1.926 | Q=- | QP=122.0
2025/03/05 HV R01 pair 8-10 p12=1.926 | Q=331.5 | QP=95.5
2025/03/05 HV R08 pair 1-10 p12=1.952 | Q=- | QP=42.5
2025/03/23 ST R07 pair 6-9 p12=1.921 | Q=- | QP=295.0
2025/04/27 ST R08 pair 2-4 p12=1.969 | Q=- | QP=294.0
2025/06/22 ST R06 pair 6-7 p12=1.933 | Q=- | QP=100.0
