block | test_range | threshold | xgb_races | xgb_roi | xgb_profit | lr_races | lr_roi | lr_profit
---|---|---:|---:|---:|---:|---:|---:|---:
1 | 2025/01/26..2025/03/02 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
1 | 2025/01/26..2025/03/02 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
1 | 2025/01/26..2025/03/02 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
2 | 2025/03/05..2025/04/06 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
2 | 2025/03/05..2025/04/06 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
2 | 2025/03/05..2025/04/06 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
3 | 2025/04/09..2025/05/10 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
3 | 2025/04/09..2025/05/10 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
3 | 2025/04/09..2025/05/10 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
4 | 2025/05/14..2025/06/14 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
4 | 2025/05/14..2025/06/14 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
4 | 2025/05/14..2025/06/14 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
5 | 2025/06/22..2025/09/10 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
5 | 2025/06/22..2025/09/10 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
5 | 2025/06/22..2025/09/10 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
6 | 2025/09/14..2025/10/19 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
6 | 2025/09/14..2025/10/19 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
6 | 2025/09/14..2025/10/19 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
7 | 2025/10/22..2025/11/23 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
7 | 2025/10/22..2025/11/23 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
7 | 2025/10/22..2025/11/23 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
8 | 2025/11/26..2025/12/27 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
8 | 2025/11/26..2025/12/27 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
8 | 2025/11/26..2025/12/27 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
9 | 2026/01/01..2026/02/01 | 1.85 | 0 | NA | +0.0 | 0 | NA | +0.0
9 | 2026/01/01..2026/02/01 | 1.9 | 0 | NA | +0.0 | 0 | NA | +0.0
9 | 2026/01/01..2026/02/01 | 1.92 | 0 | NA | +0.0 | 0 | NA | +0.0
